cat1,cat2,categories,color_response,hue1,hue2,hue_response,proto_hue,proto_resp_error,proto_target_diff,response_bias,response_error,sessionid,set_size,shuffled_hue1,shuffled_response_error
yellow,green,diff,#00ff00,89.6651739672442,39.6651739672442,120,121.86554621849697,1.8655462184969736,32.20037225125277,30.3348260327558,30.3348260327558,1589367650944,2,267.413132189554,147.413132189554
purple,purple,same,#e100ff,317.604671884713,267.604671884713,292.9411764705883,281.6806722688825,11.260504201705771,-35.923999615830496,24.663495414124725,24.663495414124725,1589367650944,2,14.62911816183516,81.68794169124686
green,green,same,#00ff80,148.879750285047,98.8797502850474,150.11764705882354,121.86554621849697,28.252100840326563,-27.014204066550036,-1.2378967737765265,1.2378967737765265,1589367650944,2,151.26608890786,1.148441849036459
purple,red,diff,#9d00ff,286.414868738333,336.414868738333,276.94117647058823,281.6806722688825,4.739495798294286,-4.734196469450467,9.473692267744752,9.473692267744752,1589367650944,2,116.16202236613931,160.77915410444893
blue,purple,diff,#8c00ff,268.468599994965,218.468599994965,272.94117647058823,229.89915966385712,43.04201680673111,-38.5694403311079,-4.472576475623214,4.472576475623214,1589367650944,2,149.17126917051974,123.7699073000685
green,green,same,#00a6ff,159.142936101734,109.142936101734,200.9411764705882,121.86554621849697,79.07563025209123,-37.27738988323702,-41.79824036885421,41.79824036885421,1589367650944,2,225.898496736709,24.957320266120803
yellow,green,diff,#f2ff00,66.1793786229412,116.179378622941,63.058823529411754,57.91596638651193,5.142857142899821,-8.263412236429268,3.120555093529447,3.120555093529447,1589367650944,2,259.3233521020671,163.7354714273447
blue,purple,diff,#9d00ff,268.468599994965,218.468599994965,276.94117647058823,229.89915966385712,47.04201680673111,-38.5694403311079,-8.472576475623214,8.472576475623214,1589367650944,2,15.8478703669515,98.90669389636327
red,red,same,#ff00c8,332.042707160939,22.0427071609393,312.94117647058823,281.6806722688825,31.260504201705714,-50.3620348920565,19.101530690350785,19.101530690350785,1589367650944,2,86.44565908399177,133.50448261340352
yellow,green,diff,#00ff11,119.225351536033,69.2253515360328,123.99999999999999,121.86554621849697,2.1344537815030122,2.640194682463971,4.774648463966983,4.774648463966983,1589367650944,2,76.95654759926713,47.04345240073286
green,blue,diff,#5eff00,115.954660750757,165.954660750757,97.88235294117646,121.86554621849697,23.98319327732051,5.910885467739973,-18.072307809580536,18.072307809580536,1589367650944,2,286.39870065213586,171.4836522890406
purple,purple,same,#0800ff,271.075052655049,321.075052655049,241.88235294117646,229.89915966385712,11.983193277319344,-41.17589299119186,29.192699713872514,29.192699713872514,1589367650944,2,240.5460883917272,1.336264549449254
purple,purple,same,#ff00ea,324.513369758513,274.513369758513,304.94117647058823,281.6806722688825,23.260504201705714,-42.832697489630505,19.57219328792479,19.57219328792479,1589367650944,2,354.3185597801076,49.37738330951936
green,green,same,#00ffa2,145.391201873427,95.3912018734268,158.11764705882354,121.86554621849697,36.25210084032656,-23.525655654930034,-12.726445185396528,12.726445185396528,1589367650944,2,31.6366721243847,126.48097493443883
green,green,same,#00ff00,96.7742332694501,146.77423326945,120,121.86554621849697,1.8655462184969736,25.09131294904688,23.225766730549907,23.225766730549907,1589367650944,2,29.3975241227361,90.6024758772639
purple,purple,same,#ff0080,329.173186859256,279.173186859256,329.88235294117646,281.6806722688825,48.201680672293946,-47.4925145903735,-0.7091660819204435,0.7091660819204435,1589367650944,2,148.97290882964438,179.09055588846792
blue,blue,same,#1100ff,259.907478253267,209.907478253267,243.99999999999997,229.89915966385712,14.100840336142852,-30.008318589409896,15.907478253267044,15.907478253267044,1589367650944,2,323.183058002769,79.183058002769
green,green,same,#00ff1e,100.556612455182,150.556612455182,127.05882352941177,121.86554621849697,5.1932773109147945,21.30893376331497,26.502211074229763,26.502211074229763,1589367650944,2,167.60161124287595,40.54278771346418
blue,blue,same,#5900ff,228.376110912683,178.376110912683,260.94117647058823,229.89915966385712,31.042016806731112,1.523048751174116,32.56506555790523,32.56506555790523,1589367650944,2,257.735327955276,3.2058485153122547
